"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 02 09:49:08 GMT 2025","Fri May 02 09:49:17 GMT 2025","9128","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadNonJsonFile","Try to upload a .txt file - API Test","Gets 400 status code and verifies response"
"failed","Fri May 02 09:50:21 GMT 2025","Fri May 02 09:50:30 GMT 2025","9092","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadUserWithUnavailableZipCode","Try to upload a user, when Zip code is unavailable - API Test","Gets 424 status code and verifies response"
"failed","Fri May 02 09:50:03 GMT 2025","Fri May 02 09:50:12 GMT 2025","9101","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadOneUserWithoutName","Try to upload a user with no Name - API Test","Gets 409 status code and verifies response"
"failed","Fri May 02 09:47:46 GMT 2025","Fri May 02 09:47:55 GMT 2025","9094","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createUserWhenIncorrectZipCode","Get 424 status code by sending incorrect Zip code in request - API Test","Verifies the status code and response when incorrect Zip code is sent"
"failed","Fri May 02 09:47:09 GMT 2025","Fri May 02 09:47:18 GMT 2025","9121","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","sendEmptyBody","Get 409 status code when send an empty body in request - API Test","Verifies the status code and response when an empty body is sent"
"failed","Fri May 02 09:47:37 GMT 2025","Fri May 02 09:47:46 GMT 2025","9128","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createUserWhenUnavailableZipCode","Get 424 status code by sending unavailable Zip code in request - API Test","Verifies the status code and response when unavailable Zip code is sent"
"failed","Fri May 02 09:48:13 GMT 2025","Fri May 02 09:48:22 GMT 2025","9139","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createUser","Create User - API Test","Creates a user and verifies status code and response"
"failed","Fri May 02 09:45:56 GMT 2025","Fri May 02 09:46:05 GMT 2025","9139","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","sendNullToAddNewZipCode","Try to send null inside an array - API Test","Gets 400 status code and verifies response"
"failed","Fri May 02 09:47:18 GMT 2025","Fri May 02 09:47:28 GMT 2025","9126","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createUserWhenChangeTheFieldsOrder","Create User when change fields order in the request - API Test","Creates a user and verifies the user is created when change the fields order inside request"
"passed","Fri May 02 09:46:51 GMT 2025","Fri May 02 09:47:00 GMT 2025","9125","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","addNewZipCodes","Add new Zip codes - API Test","Verifies status code and response"
"failed","Fri May 02 09:47:28 GMT 2025","Fri May 02 09:47:37 GMT 2025","9092","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createSeveralUsersAtOnce","Create several users at a time - API Test","Creates several users and verifies the POST and GET responses (GET response is for confirmation user is created)"
"failed","Fri May 02 09:47:00 GMT 2025","Fri May 02 09:47:09 GMT 2025","9166","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","sendNameOnly","Get 409 status code when send only Name inside request - API Test","Verifies the status code and response when only Name is sent"
"failed","Fri May 02 09:48:50 GMT 2025","Fri May 02 09:48:59 GMT 2025","9102","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadOneUserWithoutNameAndSex","Try to upload a user, when Name and Sex are missed - API Test","Gets 409 status code and verifies response"
"failed","Fri May 02 09:46:15 GMT 2025","Fri May 02 09:46:24 GMT 2025","9094","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","sendIntToAddNewZipCode","Try to send an integer inside an array - API Test","Gets 400 status code and verifies response"
"passed","Fri May 02 09:46:24 GMT 2025","Fri May 02 09:46:33 GMT 2025","9243","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","addDuplicatedAlreadyUsedZipCodes","Add duplicated already used Zip codes - API Test","Verifies status code and response"
