"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 02 09:48:47 GMT 2025","Fri May 02 09:48:56 GMT 2025","9147","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","sendNullToAddNewZipCode","Try to send null inside an array - API Test","Gets 400 status code and verifies response"
"passed","Fri May 02 09:49:42 GMT 2025","Fri May 02 09:49:51 GMT 2025","9100","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","addNewZipCodes","Add new Zip codes - API Test","Verifies status code and response"
"passed","Fri May 02 09:48:56 GMT 2025","Fri May 02 09:49:05 GMT 2025","9126","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","addDuplicatedZipCodes","Add duplicated Zip codes - API Test","Verifies status code and response, only unique codes should be added"
"failed","Fri May 02 09:50:09 GMT 2025","Fri May 02 09:50:18 GMT 2025","9138","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createUserWhenChangeTheFieldsOrder","Create User when change fields order in the request - API Test","Creates a user and verifies the user is created when change the fields order inside request"
"failed","Fri May 02 09:49:51 GMT 2025","Fri May 02 09:50:00 GMT 2025","9145","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","sendNameOnly","Get 409 status code when send only Name inside request - API Test","Verifies the status code and response when only Name is sent"
"passed","Fri May 02 09:49:32 GMT 2025","Fri May 02 09:49:42 GMT 2025","9080","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","sendEmptyObjectToAddNewZipCode","Try to send an empty object - API Test","Gets 400 status code and verifies response"
"failed","Fri May 02 09:49:05 GMT 2025","Fri May 02 09:49:14 GMT 2025","9076","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","sendIntToAddNewZipCode","Try to send an integer inside an array - API Test","Gets 400 status code and verifies response"
"failed","Fri May 02 09:50:00 GMT 2025","Fri May 02 09:50:09 GMT 2025","9134","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","sendEmptyBody","Get 409 status code when send an empty body in request - API Test","Verifies the status code and response when an empty body is sent"
"failed","Fri May 02 09:49:23 GMT 2025","Fri May 02 09:49:32 GMT 2025","9070","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","sendEmptyArrayToAddNewZipCode","Try to send an empty array - API Test","Gets 400 status code and verifies response"
"passed","Fri May 02 09:48:35 GMT 2025","Fri May 02 09:48:47 GMT 2025","11468","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","getAvailableZipCodes","Get available Zip codes - API Test","Verifies status code and response"
"failed","Fri May 02 09:50:18 GMT 2025","Fri May 02 09:50:27 GMT 2025","9180","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createSeveralUsersAtOnce","Create several users at a time - API Test","Creates several users and verifies the POST and GET responses (GET response is for confirmation user is created)"
"passed","Fri May 02 09:49:14 GMT 2025","Fri May 02 09:49:23 GMT 2025","9220","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","addDuplicatedAlreadyUsedZipCodes","Add duplicated already used Zip codes - API Test","Verifies status code and response"
