"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 02 08:06:46 GMT 2025","Fri May 02 08:06:46 GMT 2025","1","","com.coherentsolutions.java.restapi.testing.test.DataTest","","com.coherentsolutions.java.restapi.testing.test.DataTest","testGetZipCodesURL","testGetZipCodesURL()",""
"failed","Fri May 02 08:09:30 GMT 2025","Fri May 02 08:09:39 GMT 2025","9067","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWithTheSameData","Update User's all values are the same - API Test","Updates a user and verifies status code and response"
"passed","Fri May 02 08:06:46 GMT 2025","Fri May 02 08:06:46 GMT 2025","1","","com.coherentsolutions.java.restapi.testing.test.DataTest","","com.coherentsolutions.java.restapi.testing.test.DataTest","testGetZipCodesExpandURL","testGetZipCodesExpandURL()",""
"failed","Fri May 02 08:07:05 GMT 2025","Fri May 02 08:07:14 GMT 2025","9070","","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","testDeleteUserWithEmptyBodyRequest","Get 409 status code when try to delete user, provided empty body request - API Test","Verifies the status code and response when sends DELETE request with an empty body"
"failed","Fri May 02 08:04:21 GMT 2025","Fri May 02 08:04:30 GMT 2025","9077","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenChangeUsersOrderInRequestBody","Update User, when userToChange goes first in the request body - API Test","Updates a user and verifies status code and response"
"failed","Fri May 02 07:56:55 GMT 2025","Fri May 02 07:57:04 GMT 2025","9088","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createSeveralUsersAtOnce","Create several users at a time - API Test","Creates several users and verifies the POST and GET responses (GET response is for confirmation user is created)"
"failed","Fri May 02 08:01:28 GMT 2025","Fri May 02 08:01:37 GMT 2025","9106","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWithTwoDifferentUnavailableZipCodes","Try to upload two users, when two different Zip codes are unavailable - API Test","Gets 424 status code and verifies response"
"passed","Fri May 02 07:58:44 GMT 2025","Fri May 02 07:58:53 GMT 2025","9088","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadOneUserWithChangedFieldsOrder","Upload a user, when fields are reordered inside .json file - API Test","Uploads a user and verifies status code and response"
"failed","Fri May 02 07:59:57 GMT 2025","Fri May 02 08:00:06 GMT 2025","9091","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadUserWithoutZipCode","Upload a user with no Zip code - API Test","Uploads a user and verifies status code and response"
"failed","Fri May 02 08:00:24 GMT 2025","Fri May 02 08:00:33 GMT 2025","9087","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadAnEmptyFile","Try to upload an empty .json file - API Test","Gets 400 status code and verifies response"
"failed","Fri May 02 07:57:58 GMT 2025","Fri May 02 07:58:08 GMT 2025","9322","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWhereTwoWithoutNames","Try to upload two users, when both are with no Names - API Test","Gets 409 status code and verifies response"
"passed","Fri May 02 08:01:55 GMT 2025","Fri May 02 08:02:04 GMT 2025","9096","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadOneUserWhenTwoCreatedPreviously","Upload a user when several users were created previously - API Test","Uploads a user and verifies status code and response"
"failed","Fri May 02 08:09:39 GMT 2025","Fri May 02 08:09:48 GMT 2025","9061","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWhenAllNewValuesAreNull","Try to update a user, when all values are null in userNewValues - API Test","Gets 409 status code and verifies initial user is not updated"
"failed","Fri May 02 08:04:12 GMT 2025","Fri May 02 08:04:21 GMT 2025","9068","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateZipCode","Update User's Sex, age is missed in userNewValues - API Test","Updates a user and verifies status code and response"
"failed","Fri May 02 08:10:15 GMT 2025","Fri May 02 08:10:24 GMT 2025","9074","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWhenUnavailableZipCode","Try to update a user, when unavailable Zip code in userNewValues - API Test","Gets 424 status code and verifies initial user is not updated"
"failed","Fri May 02 07:59:48 GMT 2025","Fri May 02 07:59:57 GMT 2025","9095","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadUserWithUnavailableZipCode","Try to upload a user, when Zip code is unavailable - API Test","Gets 424 status code and verifies response"
"passed","Fri May 02 07:56:18 GMT 2025","Fri May 02 07:56:27 GMT 2025","9114","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","addNewZipCodes","Add new Zip codes - API Test","Verifies status code and response"
"passed","Fri May 02 08:01:46 GMT 2025","Fri May 02 08:01:55 GMT 2025","9078","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadOneUser","Upload a user - API Test","Uploads a user and verifies status code and response"
