"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 02 21:31:02 GMT 2025","Fri May 02 21:31:11 GMT 2025","9115","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","addNewZipCodes","Add new Zip codes - API Test","Verifies status code and response"
"failed","Fri May 02 21:45:08 GMT 2025","Fri May 02 21:45:17 GMT 2025","9063","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWhenSexIsMissed","Try to update a user, when Sex is missed in userNewValues - API Test","Gets 409 status code and verifies initial user is not updated"
"failed","Fri May 02 21:30:26 GMT 2025","Fri May 02 21:30:35 GMT 2025","9076","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","sendIntToAddNewZipCode","Try to send an integer inside an array - API Test","Gets 400 status code and verifies response"
"failed","Fri May 02 21:39:32 GMT 2025","Fri May 02 21:39:41 GMT 2025","9067","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenNameIsMissed","Try to update a user, when Name is missed in userNewValues - API Test","Gets 409 status code and verifies initial user is not updated"
"failed","Fri May 02 21:36:12 GMT 2025","Fri May 02 21:36:21 GMT 2025","9094","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWithTwoDifferentUnavailableZipCodes","Try to upload two users, when two different Zip codes are unavailable - API Test","Gets 424 status code and verifies response"
"failed","Fri May 02 21:36:48 GMT 2025","Fri May 02 21:36:57 GMT 2025","9156","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","getUsersBySex","Get Users by Sex - API Test","Gets created users by sex (lower case) and verifies status code and response"
"passed","Fri May 02 21:41:30 GMT 2025","Fri May 02 21:41:30 GMT 2025","3","","com.coherentsolutions.java.restapi.testing.test.DataTest","","com.coherentsolutions.java.restapi.testing.test.DataTest","testGetCredentials","testGetCredentials()",""
"failed","Fri May 02 21:37:16 GMT 2025","Fri May 02 21:37:25 GMT 2025","9091","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","getUsersYoungerThanAge","Get Users younger than parameter - API Test","Gets created users younger than 71 and verifies status code and response"
"failed","Fri May 02 21:40:54 GMT 2025","Fri May 02 21:41:03 GMT 2025","9061","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenSexIsMissed","Try to update a user, when Sex is missed in userNewValues - API Test","Gets 409 status code and verifies initial user is not updated"
"failed","Fri May 02 21:38:56 GMT 2025","Fri May 02 21:39:05 GMT 2025","9065","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateZipCode","Update User's Sex, age is missed in userNewValues - API Test","Updates a user and verifies status code and response"
"failed","Fri May 02 21:30:07 GMT 2025","Fri May 02 21:30:17 GMT 2025","9152","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","sendNullToAddNewZipCode","Try to send null inside an array - API Test","Gets 400 status code and verifies response"
"failed","Fri May 02 21:33:10 GMT 2025","Fri May 02 21:33:19 GMT 2025","9096","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWithIncorrectZipCode","Try to upload two users, when Zip code is incorrect for one user - API Test","Gets 424 status code and verifies response"
"failed","Fri May 02 21:36:21 GMT 2025","Fri May 02 21:36:30 GMT 2025","9085","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWhereOneWithoutSex","Try to upload two users, when one is with no Sex - API Test","Gets 409 status code and verifies response"
"failed","Fri May 02 21:35:35 GMT 2025","Fri May 02 21:35:45 GMT 2025","9089","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadUserWithMissedComaInJson","Try to upload a .json file, when a coma is missed - API Test","Gets 400 status code and verifies response"
"failed","Fri May 02 21:40:45 GMT 2025","Fri May 02 21:40:54 GMT 2025","9072","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenUnavailableZipCode","Try to update a user, when unavailable Zip code in userNewValues - API Test","Gets 424 status code and verifies initial user is not updated"
"failed","Fri May 02 21:31:39 GMT 2025","Fri May 02 21:31:48 GMT 2025","9085","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createSeveralUsersAtOnce","Create several users at a time - API Test","Creates several users and verifies the POST and GET responses (GET response is for confirmation user is created)"
"failed","Fri May 02 21:42:16 GMT 2025","Fri May 02 21:42:25 GMT 2025","9065","","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","testDeleteUserWithMissingSex","Get 409 status code when try to delete user, Sex is missed in request - API Test","Verifies the status code and response when sends DELETE request with no Sex"
"failed","Fri May 02 21:33:46 GMT 2025","Fri May 02 21:33:56 GMT 2025","9105","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWithIncorrectTwoZipCodes","Try to upload two users, when Zip code is incorrect for both of them - API Test","Gets 424 status code and verifies response"
"failed","Fri May 02 21:36:57 GMT 2025","Fri May 02 21:37:07 GMT 2025","9309","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","getUsersOlderThanAgeWhenParameterOnBorderOrIncorrect","Get Users older than border or incorrect parameters - API Test","Tries to get created users older than parameter and verifies status code and response"
"failed","Fri May 02 21:41:12 GMT 2025","Fri May 02 21:41:21 GMT 2025","9063","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenNameAndSexAreMissed","Try to update a user, when Name and Sex are missed in userNewValues - API Test","Gets 409 status code and verifies initial user is not updated"
"failed","Fri May 02 21:36:03 GMT 2025","Fri May 02 21:36:12 GMT 2025","9089","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadUserWithIncorrectZipCode","Try to upload a user, when Zip code is incorrect - API Test","Gets 424 status code and verifies response"
"failed","Fri May 02 21:38:38 GMT 2025","Fri May 02 21:38:47 GMT 2025","9070","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateAge","Update User's Age, zip code is missed in userNewValues - API Test","Updates a user and verifies status code and response"
"passed","Fri May 02 21:33:28 GMT 2025","Fri May 02 21:33:37 GMT 2025","9086","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadOneUserWithChangedFieldsOrder","Upload a user, when fields are reordered inside .json file - API Test","Uploads a user and verifies status code and response"
"failed","Fri May 02 21:34:32 GMT 2025","Fri May 02 21:34:41 GMT 2025","9080","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadUserWithUnavailableZipCode","Try to upload a user, when Zip code is unavailable - API Test","Gets 424 status code and verifies response"
"failed","Fri May 02 21:32:24 GMT 2025","Fri May 02 21:32:33 GMT 2025","9106","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createUser","Create User - API Test","Creates a user and verifies status code and response"
"failed","Fri May 02 21:44:50 GMT 2025","Fri May 02 21:44:59 GMT 2025","9062","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWhenChangeTheFieldsOrderInNewValues","Update User, when changed fields order of userNewValues - API Test","Updates a user and verifies status code and response"
"failed","Fri May 02 21:39:41 GMT 2025","Fri May 02 21:39:50 GMT 2025","9072","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenChangeTheFieldsOrderInToChangeValues","Update User, when changed fields order of userToChange - API Test","Updates a user and verifies status code and response"
"failed","Fri May 02 21:43:19 GMT 2025","Fri May 02 21:43:28 GMT 2025","9060","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWhenChangeUsersOrderInRequestBody","Update User, when userToChange goes first in the request body - API Test","Updates a user and verifies status code and response"
